Trial,Value,L,Rank,RegW,RMS_Scaling,Avg_RMS,Avg_Density,Centering,ValidFolds
80,0.77323,4,48,99.013389,True,1.535861,0.8499,FE_FIRMxFEAT,3
92,0.75705,2,48,59.342621,True,1.523860,0.8410,FE_FIRMxFEAT,3
81,0.77452,4,48,60.160816,True,1.535861,0.8499,FE_FIRMxFEAT,3
98,0.78067,4,35,56.704679,True,1.535861,0.8499,FE_FIRMxFEAT,3
82,0.77120,4,48,63.064954,True,1.535861,0.8499,FE_FIRMxFEAT,3
96,0.75799,2,48,59.813746,True,1.523860,0.8410,FE_FIRMxFEAT,3
103,0.76549,4,34,35.391171,True,1.535861,0.8499,FE_FIRMxFEAT,3
104,0.64435,4,19,16.470990,True,1.535861,0.8499,FE_FIRMxFEAT,3
101,0.77935,4,28,35.049384,True,1.535861,0.8499,FE_FIRMxFEAT,3
107,0.74977,4,29,39.190800,True,1.535861,0.8499,FE_FIRMxFEAT,3
102,0.77438,4,28,35.823138,True,1.535861,0.8499,FE_FIRMxFEAT,3
108,0.73491,4,27,35.218958,True,1.535861,0.8499,FE_FIRMxFEAT,3
106,0.66207,4,29,16.322823,True,1.535861,0.8499,FE_FIRMxFEAT,3
109,0.32039,4,35,7.632316,True,1.535861,0.8499,FE_FIRMxFEAT,3
97,0.76626,4,48,52.355416,True,1.535861,0.8499,FE_FIRMxFEAT,3
111,0.68437,4,29,17.164607,True,1.535861,0.8499,FE_FIRMxFEAT,3
113,0.77925,4,23,47.843541,True,1.535861,0.8499,FE_FIRMxFEAT,3
112,0.77460,4,25,46.621390,True,1.535861,0.8499,FE_FIRMxFEAT,3
110,0.68525,4,26,17.308818,True,1.535861,0.8499,FE_FIRMxFEAT,3
105,0.58532,4,44,16.407721,True,1.535861,0.8499,FE_FIRMxFEAT,3
116,0.77022,4,25,33.532097,True,1.535861,0.8499,FE_FIRMxFEAT,3
118,0.73787,4,21,32.432978,True,1.535861,0.8499,FE_FIRMxFEAT,3
