Trial,Value,L,Rank,RegW,RMS_Scaling,Avg_RMS,Avg_Density,Centering,ValidFolds
3,-0.10808,4,30,5.278755,False,1.000000,0.8499,FE_FIRMxFEAT,3
9,0.71049,4,37,23.130568,True,1.535861,0.8499,FE_FIRMxFEAT,3
17,0.53095,4,18,22.388876,False,1.000000,0.8499,FE_FIRMxFEAT,3
10,0.75267,4,45,70.621068,False,1.000000,0.8499,FE_FIRMxFEAT,3
11,0.53664,4,26,10.252821,True,1.535861,0.8499,FE_FIRMxFEAT,3
13,0.45103,4,36,7.541395,True,1.535861,0.8499,FE_FIRMxFEAT,3
20,0.77323,4,49,77.341353,True,1.535861,0.8499,FE_FIRMxFEAT,3
21,0.66295,4,49,82.096626,False,1.000000,0.8499,FE_FIRMxFEAT,3
22,0.65768,4,47,61.533142,False,1.000000,0.8499,FE_FIRMxFEAT,3
23,0.77323,4,49,83.605380,True,1.535861,0.8499,FE_FIRMxFEAT,3
18,0.44080,4,42,5.907489,True,1.535861,0.8499,FE_FIRMxFEAT,3
25,0.77949,4,49,85.318475,True,1.535861,0.8499,FE_FIRMxFEAT,3
26,0.77323,4,49,74.293304,True,1.535861,0.8499,FE_FIRMxFEAT,3
27,0.77800,4,46,41.138637,True,1.535861,0.8499,FE_FIRMxFEAT,3
28,0.77323,4,50,78.304632,True,1.535861,0.8499,FE_FIRMxFEAT,3
31,0.77323,4,43,84.134432,True,1.535861,0.8499,FE_FIRMxFEAT,3
30,-0.09888,4,44,1.635145,True,1.535861,0.8499,FE_FIRMxFEAT,3
32,0.77323,4,44,85.679716,True,1.535861,0.8499,FE_FIRMxFEAT,3
24,0.72208,4,48,65.005822,True,1.535861,0.8499,FE_FIRMxFEAT,3
46,0.77044,4,5,22.484192,True,1.535861,0.8499,FE_FIRMxFEAT,3
43,0.64691,2,33,23.964680,True,1.523860,0.8410,FE_FIRMxFEAT,3
41,0.65814,4,47,26.861666,True,1.535861,0.8499,FE_FIRMxFEAT,3
42,0.59679,4,47,25.452473,True,1.535861,0.8499,FE_FIRMxFEAT,3
44,0.67133,4,47,21.523953,True,1.535861,0.8499,FE_FIRMxFEAT,3
48,0.72796,4,39,29.366609,True,1.535861,0.8499,FE_FIRMxFEAT,3
49,0.75413,4,41,29.780570,True,1.535861,0.8499,FE_FIRMxFEAT,3
45,0.58010,4,40,21.891699,True,1.535861,0.8499,FE_FIRMxFEAT,3
54,0.77156,4,41,41.656847,True,1.535861,0.8499,FE_FIRMxFEAT,3
47,0.71194,4,40,26.768734,True,1.535861,0.8499,FE_FIRMxFEAT,3
51,0.72964,4,47,34.148736,True,1.535861,0.8499,FE_FIRMxFEAT,3
50,0.75968,4,40,39.026729,True,1.535861,0.8499,FE_FIRMxFEAT,3
52,0.71957,4,50,40.767052,True,1.535861,0.8499,FE_FIRMxFEAT,3
