objective,L,variant,target_kind,post_offset,winsor_pct,drop_rule,spread_tercile,n_events,n_firms,n_quarters,sd_signal,median_spread_bp,dlog_per_1sd,pct_per_1sd,bp_per_1sd_at_median,fm_slope,fm_t,fm_p,fm_nq,pic_mean,pic_t,pic_p,pic_nq
ridge_delta_v3,2,log_post21,log,21,0.0,none,all,981,91,15,1.9615409103788575,281.1337,-0.014022627540114962,-0.013924768446436309,-3.9147216749898908,-0.007148781585904621,-2.209539239246364,0.04568959009086861,14,-0.06139345655703147,-1.4757361720861992,0.16382139449357505,14
ridge_delta_v3,2,log_post42,log,42,0.0,none,all,941,90,14,1.9823582795847063,279.88679999999994,-0.022945306188918296,-0.02268406455533367,-6.348970239385763,-0.011574752367026821,-3.035690560653683,0.009559580615103433,14,-0.11195692941477407,-2.6795657254070826,0.01891652262393706,14
ridge_delta_v3,2,log_post63,log,63,0.0,none,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,raw_bp_post63,raw_bp,63,0.0,none,all,900,90,14,2.0035394517886096,281.95224999999994,,,-12.550788448648898,-6.264308116041587,-1.3370890763809808,0.20598815561697373,13,-0.09084014164154935,-2.058456237611258,0.06193962469378381,13
ridge_delta_v3,2,log_post63_winsor_0.01,log,63,0.01,none,all,900,90,14,1.9199822792819148,281.95224999999994,-0.02008581538239969,-0.01988543920809671,-5.606744326961085,-0.010461458732792007,-2.053581702729248,0.062475333968726336,13,-0.06919067717399643,-1.7294233246608806,0.10934667511962844,13
ridge_delta_v3,2,log_post63_winsor_0.05,log,63,0.05,none,all,900,90,14,1.6702364700222447,281.95224999999994,-0.014335012569614497,-0.014232755478960302,-4.012957430992683,-0.008582624572569404,-1.7387019678900435,0.10765170236537476,13,-0.06514069213294693,-1.7441828231213097,0.10666154480112637,13
ridge_delta_v3,2,drop_covid_2020,log,63,0.0,drop_covid_2020,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,drop_2022_tightening,log,63,0.0,drop_2022_tightening,all,688,84,11,1.8365523013656841,273.5352,-0.020052692209689523,-0.019852974166554294,-5.430487259243262,-0.010918661121046256,-1.6655170614052415,0.13016351582102598,10,-0.06262075381796486,-1.2321878539988653,0.2490985837801666,10
ridge_delta_v3,2,loo_2022Q1,log,63,0.0,leave_out_2022Q1,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,loo_2022Q2,log,63,0.0,leave_out_2022Q2,all,828,88,13,1.9304954234546492,279.04485,-0.022725602361700705,-0.02246932091477971,-6.269948284266567,-0.011771901702327227,-2.125750330460833,0.05699849091517296,12,-0.0741261503112894,-1.7368346733444695,0.11029815440973544,12
ridge_delta_v3,2,loo_2022Q3,log,63,0.0,leave_out_2022Q3,all,829,90,13,1.9821054892161059,279.0749,-0.020231222811001173,-0.02002794478518055,-5.589296688129784,-0.010206935463864907,-1.8775796309116748,0.08719223004188047,12,-0.06643437561440184,-1.5687139987457315,0.1450132188240527,12
ridge_delta_v3,2,loo_2022Q4,log,63,0.0,leave_out_2022Q4,all,831,90,13,1.9636012604367703,281.2183,-0.02274472111583468,-0.022488009904835904,-6.324039915821115,-0.011583166895490533,-2.0858081205889842,0.06108184051454063,12,-0.06723419441924566,-1.5834444933451175,0.1416267685159046,12
ridge_delta_v3,2,loo_2023Q1,log,63,0.0,leave_out_2023Q1,all,831,90,13,1.9829596832785603,279.7276999999999,-0.01913361970089469,-0.018951733891392708,-5.3013249324513305,-0.00964902103771459,-1.8315078223037202,0.09421755461937656,12,-0.05656253445091051,-1.4354672247338285,0.17897327513672712,12
