variant,kind,rank,normalization,init,seed,observed_relative_error,corr_with_baseline,std_ratio_vs_baseline
mean_abs_time_factors,index_definition,"67,40,20",rms,svd,42,0.0544853246841039,1.0,1.0
rms_time_factors,index_definition,"67,40,20",rms,svd,42,0.0544853246841039,0.967517826502728,1.2192389674497257
first_factor_abs,index_definition,"67,40,20",rms,svd,42,0.0544853246841039,0.5806965170527311,2.3351287466955544
svd_seed42_iter50,init_audit,"67,20,20",rms,svd,42,0.0566955169095184,,
random_seed42_iter50,init_audit,"67,20,20",rms,random,42,6.561653259344729,,
random_seed43_iter50,init_audit,"67,20,20",rms,random,43,6.964757697154418,,
random_seed44_iter50,init_audit,"67,20,20",rms,random,44,6.764521506918547,,
svd_seed42_iter200,init_audit,"67,20,20",rms,svd,42,0.0555442964536858,,
random_seed42_iter200,init_audit,"67,20,20",rms,random,42,1.9906521503670445,,
random_seed43_iter200,init_audit,"67,20,20",rms,random,43,2.229666101854189,,
random_seed44_iter200,init_audit,"67,20,20",rms,random,44,2.0136932359546016,,
svd_seed42_iter500,init_audit,"67,20,20",rms,svd,42,0.0550713097322289,,
random_seed42_iter500,init_audit,"67,20,20",rms,random,42,0.9712595788398944,,
random_seed43_iter500,init_audit,"67,20,20",rms,random,43,1.0965256522954825,,
random_seed44_iter500,init_audit,"67,20,20",rms,random,44,0.9855669375388928,,
rank_67_40_16_rms,rank_normalization,"67,40,16",rms,svd,42,,0.9380186478002432,1.1601637896080612
rank_67_40_20_none,rank_normalization,"67,40,20",none,svd,42,,0.9816710621621048,1.099805077401253
no_rms_67_20_20,normalization_check,"67,20,20",none,svd,42,0.05554325114443178,0.9963691146337208,
no_rms_init_67_20_20,normalization_check,"67,20,20",none,svd_initialization_only,42,0.06004773233912957,0.946265757901417,
